geo,var1,var2,var3
geo 1,37118.235,9762095.805,1.57
geo 2,31854.64333,7995515.477,0.33
geo 3,26711.41,7025100.83,1.95
geo 4,21907.43667,6090267.393,0.14
geo 5,16179.92333,4659817.92,1
geo 6,12850.88833,3418336.297,1.23
geo 7,12311.20167,3360958.055,1.14
geo 8,11627.51167,3337095.848,1.67
geo 9,9806.088333,2716286.468,0.03
geo 10,8746.836667,2282924.37,0.97
geo 11,8324.06,2347384.92,1.99
geo 12,7562.386667,1905721.44,0.79
geo 13,7398.816667,1886698.25,0.31
geo 14,7288.16,2018820.32,0.14
geo 15,6769.71,1848130.83,0.96
geo 16,6376.278333,1753476.542,1.01
geo 17,5782.125,1607430.75,1.19
geo 18,5194.188333,1464761.11,0.68
geo 19,4792.53,1236472.74,0.71
geo 20,4255.821667,1217164.997,1.53
geo 21,3875.361667,1092851.99,0.87
geo 22,3418.36,1015252.92,1.03
geo 23,3303.07,990921,1.18
geo 24,2952.126667,882685.8733,1.38
geo 25,2819.77,744419.28,1.12
geo 26,2706.781667,747071.74,1.98
geo 27,2500.798333,695221.9367,1.25
geo 28,2352.53,677528.64,1.22
geo 29,2252.365,655438.215,0.73
geo 30,2093.611667,613428.2183,1.01
geo 33,2043.29,516952.37,0.46
geo 31,2007.618333,594255.0267,1.49
geo 32,1923.91,496368.78,0.53
geo 34,1714.241667,447417.075,1.62
geo 35,1656.956667,495430.0433,0.56
geo 36,1600.36,435297.92,1.66
geo 37,1568.838333,420448.6733,0.24
geo 38,1478.515,434683.41,1.03
geo 40,1460.716667,406079.2333,0.58
geo 39,1449.508333,405862.3333,0.43
geo 41,1416.2,407865.6,1.58
geo 43,1316.495,329123.75,0.49
geo 42,1310.6,355172.6,0.33
geo 44,1256.208333,331639,1.19
geo 45,1179.986667,310336.4933,1.05
geo 46,1125.213333,289179.8267,1.33
geo 47,1096.598333,314723.7217,1.57
geo 48,1094.966667,310970.5333,1.03
geo 49,1067.116667,292389.9667,0.83
geo 52,1000.856667,271232.1567,0.82
geo 50,997.83,254446.65,0.14
geo 53,938.975,265729.925,0.46
geo 51,930.5416667,266134.9167,1.92
geo 55,891.135,251300.07,1.76
geo 54,870.5916667,235930.3417,0.8
geo 56,848.51,232491.74,0.06
geo 60,768.655,205999.54,0.27
geo 58,751.4266667,189359.52,1.05
geo 57,732.91,191289.51,1.24
geo 59,731.3283333,184294.74,0.22
geo 62,695.5366667,181535.07,1.49
geo 65,677.5933333,201245.22,0.54
geo 61,672.6533333,201796,1.62
geo 63,648.3333333,164028.3333,0.24
geo 67,646.8583333,183060.9083,1.32
geo 64,597.8966667,166813.17,0.38
geo 66,592.7283333,175447.5867,0.07
geo 68,573.03,166751.73,1.37
geo 69,546.3566667,138228.2367,0.19
geo 70,534.9583333,155137.9167,1.97
geo 71,499.2366667,124809.1667,0.51
geo 72,459.205,130414.22,0.41
geo 74,453.2416667,118296.075,0.75
geo 73,426.0883333,114617.7617,1.72
geo 75,423.885,121231.11,2
geo 76,390.1316667,112357.92,0.78
geo 77,388.5816667,99088.325,0.55
geo 78,362.9383333,97267.47333,0.72
geo 79,356.645,102713.76,0.19
geo 80,352.6083333,98730.33333,1.46
geo 81,340.4666667,87499.93333,0.44
geo 84,332.2233333,94019.20333,0.31
geo 83,322.705,81967.07,1.11
geo 82,321.025,86355.725,1.96
geo 86,299.3616667,78432.75667,0.53
geo 85,268.1033333,78822.38,0.64
geo 87,259.03,75895.79,0.18
geo 88,236.9133333,64440.42667,1.57
geo 89,211.9466667,58497.28,0.5
geo 92,198.5,56969.5,1.26
geo 90,193.08,57924,1.23
geo 94,185.15,47213.25,0.75
geo 91,184.285,51599.8,1.43
geo 93,183.025,49416.75,0.9
geo 95,168.475,44814.35,1.23
geo 96,162.1566667,47511.90333,1.05
geo 97,117.9366667,32550.52,1.59
geo 98,112.9266667,29473.86,1.23
geo 99,95.69666667,27369.24667,0.68
geo 100,94.10166667,27854.09333,0
