date,geo,var1
2015-01-05,geo 1,7227.32
2015-01-05,geo 10,1827.21
2015-01-05,geo 100,23.98
2015-01-05,geo 11,1501.1
2015-01-05,geo 12,1371.61
2015-01-05,geo 13,1366.81
2015-01-05,geo 14,1496.3
2015-01-05,geo 15,1203.75
2015-01-05,geo 16,1016.72
2015-01-05,geo 17,963.96
2015-01-05,geo 18,868.05
2015-01-05,geo 19,834.47
2015-01-05,geo 2,5342.56
2015-01-05,geo 20,820.09
2015-01-05,geo 21,618.66
2015-01-05,geo 22,657.03
2015-01-05,geo 23,642.64
2015-01-05,geo 24,570.7
2015-01-05,geo 25,503.56
2015-01-05,geo 26,422.03
2015-01-05,geo 27,383.67
2015-01-05,geo 28,541.93
2015-01-05,geo 29,465.2
2015-01-05,geo 3,4958.89
2015-01-05,geo 30,407.65
2015-01-05,geo 31,364.48
2015-01-05,geo 32,302.14
2015-01-05,geo 33,402.85
2015-01-05,geo 34,345.3
2015-01-05,geo 35,254.18
2015-01-05,geo 36,311.73
2015-01-05,geo 37,263.77
2015-01-05,geo 38,225.4
2015-01-05,geo 39,235
2015-01-05,geo 4,4081.25
2015-01-05,geo 40,215.81
2015-01-05,geo 41,402.85
2015-01-05,geo 42,263.77
2015-01-05,geo 43,249.38
2015-01-05,geo 44,225.4
2015-01-05,geo 45,273.36
2015-01-05,geo 46,153.47
2015-01-05,geo 47,201.42
2015-01-05,geo 48,254.18
2015-01-05,geo 49,172.65
2015-01-05,geo 5,2776.79
2015-01-05,geo 50,177.45
2015-01-05,geo 51,172.65
2015-01-05,geo 52,143.87
2015-01-05,geo 53,134.28
2015-01-05,geo 54,71.94
2015-01-05,geo 55,139.08
2015-01-05,geo 56,95.92
2015-01-05,geo 57,201.42
2015-01-05,geo 58,119.9
2015-01-05,geo 59,134.28
2015-01-05,geo 6,2388.32
2015-01-05,geo 60,76.73
2015-01-05,geo 61,129.49
2015-01-05,geo 62,134.28
2015-01-05,geo 63,124.69
2015-01-05,geo 64,115.1
2015-01-05,geo 65,158.26
2015-01-05,geo 66,119.9
2015-01-05,geo 67,67.14
2015-01-05,geo 68,139.08
2015-01-05,geo 69,119.9
2015-01-05,geo 7,1966.29
2015-01-05,geo 70,71.94
2015-01-05,geo 71,91.12
2015-01-05,geo 72,91.12
2015-01-05,geo 73,81.53
2015-01-05,geo 74,86.32
2015-01-05,geo 75,71.94
2015-01-05,geo 76,62.35
2015-01-05,geo 77,33.57
2015-01-05,geo 78,14.39
2015-01-05,geo 79,52.75
2015-01-05,geo 8,1793.64
2015-01-05,geo 80,52.75
2015-01-05,geo 81,62.35
2015-01-05,geo 82,91.12
2015-01-05,geo 83,91.12
2015-01-05,geo 84,52.75
2015-01-05,geo 85,23.98
2015-01-05,geo 86,38.37
2015-01-05,geo 87,38.37
2015-01-05,geo 88,52.75
2015-01-05,geo 89,38.37
2015-01-05,geo 9,1644.97
2015-01-05,geo 90,19.18
2015-01-05,geo 91,62.35
2015-01-05,geo 92,43.16
2015-01-05,geo 93,19.18
2015-01-05,geo 94,28.77
2015-01-05,geo 95,47.96
2015-01-05,geo 96,9.59
2015-01-05,geo 98,4.8
2015-01-05,geo 99,14.39
2015-01-06,geo 1,6815.22
2015-01-06,geo 10,1484.51
2015-01-06,geo 100,14.46
2015-01-06,geo 11,1523.06
2015-01-06,geo 12,1180.85
2015-01-06,geo 13,1465.22
2015-01-06,geo 14,1412.21
2015-01-06,geo 15,1195.32
2015-01-06,geo 16,1118.19
2015-01-06,geo 17,1190.49
2015-01-06,geo 18,1041.08
2015-01-06,geo 19,935.04
